P1	k__Fungi;p__Asco;c__Do;o__My;f__Els;g__Phoma;s__El
P2	k__Fungi;p__Asco;c__Do;o__My;f__Els;g__phoma;s__El
C1	k__Fungi;p__Asco;c__Do;o__My;f__Els;g__Candida;s__El
C2	k__Fungi;p__Asco;c__Do;o__My;f__Els;g__Candida;s__El
C3	k__Fungi;p__Asco;c__Do;o__My;f__Els;g__Unidentified;s__El
C4	k__Fungi;p__Asco;c__Do;o__My;f__Els;g__Candida;s__El
C5	k__Fungi;p__Asco;c__Do;o__My;f__Els;g__Candida;s__El
M1	k__Fungi;p__Asco;c__Do;o__My;f__Els;g__Unidentified;s__El
M2	k__Fungi;p__Asco;c__Do;o__My;f__Els;g__Mucor;s__El
M3	k__Fungi;p__Asco;c__Do;o__My;f__Els;g__Mucor;s__El
M4	k__Fungi;p__Asco;c__Do;o__My;f__Els;g__Mucor;s__El
